"","Raw_Reads","Processed_Reads","Duplication_Percentage","Median_Fragment_Size","ROI_to_30x","ROI_to_40x","ROI_to_200x"
"1",1438617,1409277.5,0.057829,3.5,0.997,0.996,0.966
"2",1588164,1553600,0.067713,2,0.997,0.997,0.972
"3",1236001,1207795,0.048877,13,0.996,0.995,0.964
"4",1399960,1366079,0.052018,7,0.996,0.996,0.969
"5",1514562,1479183,0.055304,5.5,0.997,0.996,0.972
"6",1300109,1270328.5,0.049806,8,0.996,0.995,0.964
"7",1343173,1308643.5,0.050485,8,0.997,0.996,0.968
"8",1416309,1384191.5,0.054714,13,0.997,0.996,0.972
"9",1573125,1537625.5,0.053548,9,1,0.999,0.971
"10",1492006,1456225.5,0.051707,10,1,0.999,0.969
"11",1476566,1433965.5,0.062629,17.5,0.996,0.996,0.964
"12",1644430,1598274,0.065722,19,0.997,0.996,0.969
"13",1548935,1515828,0.0599,2.5,1,0.999,0.979
"14",1325688,1298212,0.051367,1,0.999,0.999,0.968
"15",1671713,1631931,0.06002,4.5,0.996,0.996,0.974
"16",1576742,1540343,0.057482,6.5,0.997,0.996,0.972
"17",1949122,1910097,0.051684,24,0.997,0.996,0.981
"18",1720742,1681553,0.050707,27.5,0.997,0.997,0.982
"19",1586664,1552524.5,0.043768,24,0.999,0.998,0.978
"20",1977616,1939700.5,0.053082,22,0.997,0.997,0.982
"21",1847332,1809679.5,0.044604,22.5,1,0.999,0.979
"22",1907015,1869328.5,0.051454,22,0.997,0.996,0.981
"23",2121842,2076661.5,0.052807,20,1,1,0.988
"24",1652761,1618364,0.042782,26.5,0.999,0.999,0.975
"25",1914092,1879512,0.047526,21.5,1,0.999,0.982
"26",1888305,1849613.5,0.049712,30.5,1,0.999,0.981
"27",2054234,2005513.5,0.056423,29.5,0.996,0.996,0.984
"28",2375858,2332294.5,0.085348,18,0.997,0.997,0.989
"29",2009093,1967578,0.054058,28,1,1,0.987
"30",1870621,1832694,0.052145,24.5,0.997,0.997,0.983
"31",1812142,1770079.5,0.045129,23,0.999,0.999,0.98
"32",2244479,2200313.5,0.056054,25.5,1,1,0.992
"33",1504580,1474313.5,0.042496,16,0.997,0.996,0.97
"34",1513744,1481849.5,0.041304,17.5,0.997,0.996,0.976
"35",1316959,1291643.5,0.045891,13,0.996,0.995,0.973
"36",1384601,1354876.5,0.044297,7,0.996,0.995,0.966
"37",1496260,1465080.5,0.047203,11.5,0.999,0.998,0.974
"38",1375717,1348989,0.044851,9.5,0.996,0.995,0.972
"39",1528435,1499042.5,0.048994,10.5,0.996,0.996,0.978
"40",1431640,1402156.5,0.049079,9,0.999,0.998,0.976
"41",1568044,1533017.5,0.055069,10.5,0.996,0.996,0.974
"42",1853451,1812128.5,0.054637,7.5,0.999,0.998,0.983
"43",1382235,1351284,0.039574,20.5,0.996,0.995,0.973
"44",1315565,1283527,0.040105,17,0.996,0.996,0.969
"45",1392724,1363408.5,0.039652,23,0.997,0.996,0.973
"46",1650358,1612213,0.046342,20,1,1,0.979
"47",1677964,1639265.5,0.045761,21.5,0.999,0.999,0.98
"48",1282115,1252672.5,0.036295,20.5,0.996,0.995,0.967
"49",1803493,1781445.5,0.049395,22.5,0.997,0.997,0.983
"50",1480841,1462759.5,0.040782,26,0.996,0.996,0.977
"51",1917436,1885923.5,0.053453,31.5,0.997,0.997,0.985
"52",2031630,2005618,0.064656,20.5,1,0.999,0.989
"53",1837141,1813302.5,0.048111,25.5,1,0.999,0.984
"54",1753020,1733853,0.049419,17,0.999,0.999,0.983
"55",1797575,1773681,0.051053,24,0.997,0.997,0.986
"56",1791283,1767727,0.047876,17.5,0.999,0.999,0.983
"57",1891986,1864916.5,0.050836,23,0.997,0.997,0.983
"58",1623539,1602295.5,0.046865,27.5,0.999,0.999,0.981
"59",1633690,1609223,0.045443,29,1,0.999,0.981
"60",1928649,1902003,0.052377,32,0.997,0.997,0.984
"61",1883723,1856355,0.050262,30.5,1,1,0.985
"62",1920937,1894700.5,0.051617,26.5,1,1,0.988
"63",1638055,1615013.5,0.045874,25,1,1,0.982
"64",1917020,1892051.5,0.052681,27.5,0.997,0.997,0.986
